date;time
08.12.2017;11:40:44

t[s];modifyMe[minutes];testCounterNegative[km/h];testCounter[km/h];backgroundlightsize[km/h]
7.639000; ;-774; ; ; 
7.649000; ;-774; ; ; 
7.655000; ; ;77; ; 
7.659000; ;-774; ; ; 
7.669000; ;-774; ; ; 
7.679000; ;-774; ; ; 
7.687000; ; ; ;50; 
7.691000; ;-774; ; ; 
7.692000;103; ; ; ; 
7.700000; ;-774; ; ; 
7.710000; ;-774; ; ; 
7.720000; ;-773; ; ; 
7.730000; ;-773; ; ; 
7.740000; ;-773; ; ; 
7.750000; ;-773; ; ; 
7.757000; ; ; ;50; 
7.762000; ;-773; ; ; 
7.767000; ; ;77; ; 
7.771000; ;-773; ; ; 
7.780000; ;-773; ; ; 
7.790000;103;-773; ; ; 
7.800000; ;-773; ; ; 
7.810000; ;-773; ; ; 
7.816000; ; ; ;50; 
7.820000; ;-772; ; ; 
7.829000; ;-772; ; ; 
7.839000; ;-772; ; ; 
7.850000; ;-772; ; ; 
7.859000; ;-772; ; ; 
7.870000; ;-772; ; ; 
7.877000; ; ;78; ; 
7.881000; ;-772; ;50; 
7.890000;103;-772; ; ; 
7.900000; ;-772; ; ; 
7.910000; ;-772; ; ; 
7.920000; ;-771; ; ; 
7.930000; ;-771; ; ; 
7.937000; ; ; ;50; 
7.941000; ;-771; ; ; 
7.949000; ;-771; ; ; 
7.960000; ;-771; ; ; 
7.969000; ;-771; ; ; 
7.979000; ;-771; ; ; 
7.985000; ; ;78; ; 
7.989000; ;-771; ; ; 
7.990000;103; ; ; ; 
7.998000; ; ; ;50; 
8.003000; ;-771; ; ; 
8.010000; ;-771; ; ; 
8.020000; ;-770; ; ; 
8.030000; ;-770; ; ; 
8.040000; ;-770; ; ; 
8.050000; ;-770; ; ; 
8.060000; ;-770; ; ; 
8.064000; ; ; ;50; 
8.070000; ;-770; ; ; 
8.080000; ;-770; ; ; 
8.090000;103;-770; ; ; 
8.100000; ;-770;78; ; 
8.110000; ;-770; ; ; 
8.120000; ;-769; ; ; 
8.125000; ; ; ;50; 
8.129000; ;-769; ; ; 
8.139000; ;-769; ; ; 
8.149000; ;-769; ; ; 
8.159000; ;-769; ; ; 
8.169000; ;-769; ; ; 
8.179000; ;-769; ; ; 
8.185000; ; ; ;50; 
8.190000; ;-769; ; ; 
8.191000;103; ; ; ; 
8.199000; ; ;78; ; 
8.203000; ;-769; ; ; 
8.210000; ;-769; ; ; 
8.220000; ;-768; ; ; 
8.230000; ;-768; ; ; 
8.240000; ;-768; ; ; 
8.247000; ; ; ;50; 
8.251000; ;-768; ; ; 
8.260000; ;-768; ; ; 
8.269000; ;-768; ; ; 
8.279000; ;-768; ; ; 
8.289000;103;-768; ; ; 
8.301000; ;-768; ; ; 
8.309000; ;-768; ; ; 
8.315000; ; ;79; ; 
8.320000; ;-767; ;50; 
8.330000; ;-767; ; ; 
8.340000; ;-767; ; ; 
8.350000; ;-767; ; ; 
8.360000; ;-767; ; ; 
8.370000; ;-767; ; ; 
8.376000; ; ; ;50; 
8.381000; ;-767; ; ; 
8.390000;103;-767; ; ; 
8.401000; ;-767; ; ; 
8.410000; ;-767; ; ; 
8.420000; ;-766; ; ; 
8.425000; ; ;79; ; 
8.430000; ;-766; ; ; 
8.435000; ; ; ;50; 
8.439000; ;-766; ; ; 
8.449000; ;-766; ; ; 
8.459000; ;-766; ; ; 
8.469000; ;-766; ; ; 
8.479000; ;-766; ; ; 
8.490000;103;-766; ; ; 
8.503000; ;-766; ; ; 
8.507000; ; ; ;50; 
8.512000; ;-766; ; ; 
8.520000; ;-765; ; ; 
8.530000; ;-765; ; ; 
8.535000; ; ;79; ; 
8.540000; ;-765; ; ; 
8.550000; ;-765; ; ; 
8.557000; ; ; ;50; 
8.563000; ;-765; ; ; 
8.570000; ;-765; ; ; 
8.580000; ;-765; ; ; 
8.589000;103;-765; ; ; 
8.600000; ;-765; ; ; 
8.609000; ;-765; ; ; 
8.620000; ;-764; ; ; 
8.626000; ; ; ;50; 
8.631000; ;-764; ; ; 
8.640000; ;-764; ; ; 
8.647000; ; ;79; ; 
8.652000; ;-764; ; ; 
8.660000; ;-764; ; ; 
8.670000; ;-764; ; ; 
8.680000; ;-764; ; ; 
8.685000; ; ; ;50; 
8.690000;103;-764; ; ; 
8.700000; ;-764; ; ; 
8.710000; ;-764; ; ; 
8.720000; ;-763; ; ; 
8.730000; ;-763; ; ; 
8.740000; ;-763; ; ; 
8.750000; ;-763; ; ; 
8.757000; ; ;79; ; 
8.762000; ;-763; ;50; 
8.769000; ;-763; ; ; 
8.779000; ;-763; ; ; 
8.789000;103;-763; ; ; 
8.800000; ;-763; ; ; 
8.810000; ;-763; ; ; 
8.818000; ; ; ;50; 
8.824000; ;-762; ; ; 
8.830000; ;-762; ; ; 
8.840000; ;-762; ; ; 
8.850000; ;-762; ; ; 
8.858000; ; ;80; ; 
8.863000; ;-762; ; ; 
8.870000; ;-762; ; ; 
8.876000; ; ; ;50; 
8.880000; ;-762; ; ; 
8.890000;103;-762; ; ; 
8.900000; ;-762; ; ; 
8.910000; ;-762; ; ; 
8.919000; ;-761; ; ; 
8.929000; ;-761; ; ; 
8.936000; ; ; ;50; 
8.940000; ;-761; ; ; 
8.949000; ;-761; ; ; 
8.959000; ;-761; ; ; 
8.965000; ; ;80; ; 
8.969000; ;-761; ; ; 
8.979000; ;-761; ; ; 
8.989000;103;-761; ; ; 
9.000000; ;-761; ;50; 
9.010000; ;-761; ; ; 
9.020000; ;-760; ; ; 
9.030000; ;-760; ; ; 
9.040000; ;-760; ; ; 
9.050000; ;-760; ; ; 
9.063000; ;-760; ; ; 
9.078000; ; ; ;50; 
9.079000; ;-760; ; ; 
9.090000;103;-760;80; ; 
9.103000; ;-760; ; ; 
9.110000; ;-760; ; ; 
9.120000; ;-759; ; ; 
9.139000; ;-759; ; ; 
9.140000; ;-759; ; ; 
9.150000; ;-759; ;50; 
9.160000; ;-759; ; ; 
9.170000; ;-759; ; ; 
9.180000; ;-759; ; ; 
9.188000; ; ;80; ; 
9.196000;103;-759; ;50; 
9.213000; ;-759; ; ; 
9.214000; ;-759; ; ; 
9.224000; ;-758; ; ; 
9.232000; ;-758; ; ; 
9.239000; ;-758; ; ; 
9.248000; ; ; ;50; 
9.256000; ;-758; ; ; 
9.265000; ;-758; ; ; 
9.272000; ;-758; ; ; 
9.281000; ;-758; ; ; 
9.290000; ;-758; ; ; 
9.291000;103; ; ; ; 
9.305000; ;-758; ; ; 
9.314000; ; ;80; ; 
9.316000; ;-758; ; ; 
9.324000; ;-757; ;50; 
9.334000; ;-757; ; ; 
9.342000; ;-757; ; ; 
9.350000; ;-757; ; ; 
9.360000; ;-757; ; ; 
9.370000; ;-757; ; ; 
9.371000; ; ; ;50; 
9.381000; ;-757; ; ; 
9.390000;103;-757; ; ; 
9.408000; ;-757; ; ; 
9.415000; ;-757;81; ; 
9.420000; ;-756; ; ; 
9.430000; ;-756; ; ; 
9.436000; ; ; ;50; 
9.441000; ;-756; ; ; 
9.449000; ;-756; ; ; 
9.459000; ;-756; ; ; 
9.469000; ;-756; ; ; 
9.480000; ;-756; ; ; 
9.501000; ;-756; ; ; 
9.502000;103; ; ; ; 
9.504000; ;-756; ; ; 
9.540000; ;-756; ;50; 
9.541000; ;-755; ; ; 
9.543000; ;-755; ; ; 
9.556000; ; ;81; ; 
9.557000; ;-755; ; ; 
9.569000; ;-755; ; ; 
9.580000; ;-755; ;50; 
9.582000; ;-755; ; ; 
9.592000;103;-755; ; ; 
9.614000; ;-755; ; ; 
9.625000; ;-754; ; ; 
9.630000; ;-754;81;50; 
9.640000; ;-754; ; ; 
9.650000; ;-754; ; ; 
9.660000; ;-754; ; ; 
9.673000; ;-754; ; ; 
9.686000; ;-754; ; ; 
9.699000; ;-754; ;50; 
9.701000;103;-754; ; ; 
9.733000; ;-753; ; ; 
9.736000; ;-753; ; ; 
9.756000; ; ;81; ; 
9.758000; ;-753; ; ; 
9.759000; ;-753; ; ; 
9.783000; ; ; ;50; 
9.784000; ;-753; ; ; 
9.809000; ;-753; ; ; 
9.812000;103; ; ; ; 
9.814000; ;-753; ; ; 
9.850000; ; ; ;50; 
9.851000; ;-752; ; ; 
9.854000; ;-752; ; ; 
9.855000; ;-752; ; ; 
9.875000; ; ;82; ; 
9.877000; ;-752; ; ; 
9.898000; ;-752; ;50; 
9.900000; ;-752; ; ; 
9.902000;103; ; ; ; 
9.903000; ;-752; ; ; 
9.935000; ;-752; ; ; 
9.938000; ;-751; ; ; 
9.940000; ;-751; ; ; 
9.941000; ;-751; ; ; 
9.960000; ;-751; ;50; 
9.962000; ;-751; ; ; 
9.976000; ;-751;82; ; 
9.993000; ;-751; ; ; 
9.995000; ;-751; ; ; 
9.996000;103; ; ; ; 
10.029000; ; ; ;50; 
10.031000; ;-751; ; ; 
10.033000; ;-750; ; ; 
10.035000; ;-750; ; ; 
10.056000; ;-750; ; ; 
10.057000; ;-750; ; ; 
10.077000; ;-750; ; ; 
10.079000; ;-750; ; ; 
10.097000; ; ;82; ; 
10.099000;103;-750; ; ; 
10.101000; ; ; ;50; 
10.103000; ;-750; ; ; 
10.119000; ;-749; ; ; 
10.131000; ;-749; ;50; 
10.141000; ;-749; ; ; 
10.150000; ;-749; ; ; 
10.160000; ;-749; ; ; 
10.170000; ;-749; ; ; 
10.178000; ; ;82; ; 
10.186000; ;-749; ; ; 
10.195000;103;-749; ;50; 
10.213000; ;-749; ; ; 
10.224000; ;-748; ; ; 
10.230000; ;-748; ; ; 
10.240000; ;-748; ; ; 
10.245000; ; ; ;50; 
10.250000; ;-748; ; ; 
10.260000; ;-748; ; ; 
10.270000; ;-748; ; ; 
10.280000; ;-748; ; ; 
10.287000; ; ;82; ; 
10.292000;103;-748; ; ; 
10.301000; ;-748; ; ; 
10.309000; ;-748; ; ; 
10.317000; ; ; ;50; 
10.322000; ;-747; ; ; 
10.329000; ;-747; ; ; 
10.340000; ;-747; ; ; 
10.350000; ;-747; ; ; 
10.360000; ;-747; ; ; 
10.370000; ;-747; ; ; 
10.377000; ; ; ;50; 
10.384000; ;-747; ; ; 
10.390000;103;-747; ; ; 
10.399000; ; ;83; ; 
10.400000; ;-747; ; ; 
10.410000; ;-747; ; ; 
10.420000; ;-746; ; ; 
10.430000; ;-746; ; ; 
10.438000; ; ; ;50; 
10.446000; ;-746; ; ; 
10.451000; ;-746; ; ; 
10.459000; ;-746; ; ; 
10.469000; ;-746; ; ; 
10.480000; ;-746; ; ; 
10.490000;103;-746; ; ; 
10.502000; ;-746; ; ; 
10.507000; ; ;83; ; 
10.512000; ;-746; ;50; 
10.520000; ;-745; ; ; 
10.530000; ;-745; ; ; 
10.540000; ;-745; ; ; 
10.550000; ;-745; ; ; 
10.565000; ;-745; ; ; 
10.580000; ;-745; ;50; 
10.582000; ;-745; ; ; 
10.596000;103;-745; ; ; 
10.621000; ;-745; ; ; 
10.623000; ;-744; ; ; 
10.638000; ;-744;83; ; 
10.640000; ;-744; ;50; 
10.656000; ;-744; ; ; 
10.667000; ;-744; ; ; 
10.680000; ;-744; ; ; 
10.695000; ;-744; ;50; 
10.697000;103; ; ; ; 
10.711000; ;-744; ; ; 
10.720000; ;-743; ; ; 
10.727000; ; ;83; ; 
10.732000; ;-743; ; ; 
10.740000; ;-743; ; ; 
10.747000; ; ; ;50; 
10.753000; ;-743; ; ; 
10.759000; ;-743; ; ; 
10.769000; ;-743; ; ; 
10.779000; ;-743; ; ; 
10.789000;103;-743; ; ; 
10.801000; ;-743; ; ; 
10.809000; ;-743; ; ; 
10.815000; ; ; ;50; 
10.823000; ;-742; ; ; 
10.829000; ; ;84; ; 
10.836000; ;-742; ; ; 
10.843000; ;-742; ; ; 
10.850000; ;-742; ; ; 
10.860000; ;-742; ; ; 
10.870000; ;-742; ; ; 
10.878000; ; ; ;50; 
10.884000; ;-742; ; ; 
10.891000;103;-742; ; ; 
10.902000; ;-742; ; ; 
10.910000; ;-742; ; ; 
10.920000; ;-741; ; ; 
10.930000; ;-741; ; ; 
10.935000; ; ;84; ; 
10.938000; ; ; ;50; 
10.941000; ;-741; ; ; 
10.950000; ;-741; ; ; 
10.960000; ;-741; ; ; 
10.970000; ;-741; ; ; 
10.980000; ;-741; ; ; 
10.990000;103;-741; ; ; 
11.001000; ;-741; ; ; 
11.008000; ; ; ;50; 
11.014000; ;-741; ; ; 
11.020000; ;-740; ; ; 
11.030000; ;-740; ; ; 
11.040000; ;-740; ; ; 
11.048000; ; ;84; ; 
11.055000; ;-740; ; ; 
11.061000; ;-740; ; ; 
11.067000; ; ; ;50; 
11.073000; ;-740; ; ; 
11.080000; ;-740; ; ; 
11.090000;103;-740; ; ; 
11.103000; ;-740; ; ; 
11.110000; ;-740; ; ; 
11.120000; ;-739; ; ; 
11.128000; ; ; ;50; 
11.134000; ;-739; ; ; 
11.140000; ;-739; ; ; 
11.150000; ;-739; ; ; 
11.159000; ;-739;84; ; 
11.170000; ;-739; ; ; 
11.180000; ;-739; ; ; 
11.189000;103;-739; ;50; 
11.203000; ;-739; ; ; 
11.210000; ;-739; ; ; 
11.220000; ;-738; ; ; 
11.230000; ;-738; ; ; 
11.239000; ;-738; ; ; 
11.248000; ; ; ;50; 
11.255000; ;-738; ; ; 
11.263000; ;-738; ; ; 
11.268000; ; ;84; ; 
11.275000; ;-738; ; ; 
11.282000; ;-738; ; ; 
11.290000; ;-738; ; ; 
11.291000;103; ; ; ; 
11.301000; ;-738; ; ; 
11.310000; ;-738; ; ; 
11.316000; ; ; ;50; 
11.320000; ;-737; ; ; 
11.330000; ;-737; ; ; 
11.340000; ;-737; ; ; 
11.350000; ;-737; ; ; 
11.360000; ;-737; ; ; 
11.370000; ;-737; ; ; 
11.376000; ; ;85; ; 
11.380000; ;-737; ;50; 
11.390000;103;-737; ; ; 
11.400000; ;-737; ; ; 
11.409000; ;-737; ; ; 
11.420000; ;-736; ; ; 
11.429000; ;-736; ; ; 
11.435000; ; ; ;50; 
11.439000; ;-736; ; ; 
11.450000; ;-736; ; ; 
11.460000; ;-736; ; ; 
11.470000; ;-736; ; ; 
11.480000; ;-736; ; ; 
11.484000; ; ;85; ; 
11.490000;103;-736; ; ; 
11.498000; ; ; ;50; 
11.502000; ;-736; ; ; 
11.510000; ;-736; ; ; 
11.520000; ;-735; ; ; 
11.530000; ;-735; ; ; 
11.540000; ;-735; ; ; 
11.550000; ;-735; ; ; 
11.558000; ; ; ;50; 
11.565000; ;-735; ; ; 
11.573000; ;-735; ; ; 
11.581000; ;-735; ; ; 
11.590000;103;-735; ; ; 
11.607000; ; ;85; ; 
11.608000; ;-735; ; ; 
11.616000; ;-735; ; ; 
11.624000; ;-734; ; ; 
11.632000; ;-734; ;50; 
11.643000; ;-734; ; ; 
11.650000; ;-734; ; ; 
11.660000; ;-734; ; ; 
11.670000; ;-734; ; ; 
11.680000; ;-734; ; ; 
11.690000; ;-734; ;50; 
11.691000;103; ; ; ; 
11.711000; ;-734; ; ; 
11.721000; ;-733;85; ; 
11.730000; ;-733; ; ; 
11.740000; ;-733; ; ; 
11.750000; ;-733; ;50; 
11.760000; ;-733; ; ; 
11.770000; ;-733; ; ; 
11.781000; ;-733; ; ; 
11.791000;103;-733; ; ; 
11.808000; ;-733; ; ; 
11.820000; ;-733;85; ; 
11.822000; ;-732; ; ; 
11.823000; ; ; ;50; 
11.832000; ;-732; ; ; 
11.840000; ;-732; ; ; 
11.850000; ;-732; ; ; 
11.860000; ;-732; ; ; 
11.872000; ;-732; ; ; 
11.881000; ;-732; ;50; 
11.890000;103;-732; ; ; 
11.905000; ;-732; ; ; 
11.915000; ;-732; ; ; 
11.924000; ; ;86; ; 
11.925000; ;-731; ; ; 
11.939000; ;-731; ; ; 
11.941000; ;-731; ; ; 
11.961000; ; ; ;50; 
11.963000; ;-731; ; ; 
11.965000; ;-731; ; ; 
11.986000; ;-731; ; ; 
12.008000; ;-731; ; ; 
12.010000;103;-731; ; ; 
12.012000; ;-731; ; ; 
12.054000; ;-730; ;50; 
12.057000; ;-730; ; ; 
12.060000; ;-730; ; ; 
12.083000; ;-730;86; ; 
12.085000; ;-730; ; ; 
12.109000; ; ; ;50; 
12.111000;103;-730; ; ; 
12.114000; ;-730; ; ; 
12.147000; ;-729; ; ; 
12.152000; ;-729; ; ; 
12.153000; ;-729; ; ; 
12.174000; ; ; ;50; 
12.176000; ;-729; ; ; 
12.178000; ; ;86; ; 
12.180000; ;-729; ; ; 
12.201000;103;-729; ; ; 
12.203000; ;-729; ; ; 
12.228000; ;-729; ;50; 
12.230000; ;-728; ; ; 
12.246000; ;-728; ; ; 
12.263000; ;-728;86; ; 
12.265000; ;-728; ;50; 
12.275000; ;-728; ; ; 
12.290000; ;-728; ; ; 
12.291000;103;-728; ; ; 
12.309000; ;-728; ; ; 
12.321000; ;-728; ;50; 
12.323000; ;-727; ; ; 
12.338000; ;-727; ; ; 
12.352000; ;-727; ; ; 
12.366000; ; ;87; ; 
12.367000; ;-727; ; ; 
12.376000; ;-727; ; ; 
12.386000; ; ; ;50; 
12.387000; ;-727; ; ; 
12.397000;103;-727; ; ; 
12.418000; ;-727; ; ; 
12.424000; ;-726; ; ; 
12.430000; ;-726; ; ; 
12.436000; ; ; ;50; 
12.441000; ;-726; ; ; 
12.450000; ;-726; ; ; 
12.460000; ;-726; ; ; 
12.470000; ;-726; ; ; 
12.474000; ; ;87; ; 
12.480000; ;-726; ; ; 
12.490000;103;-726; ; ; 
12.500000; ;-726; ; ; 
12.504000; ; ; ;50; 
12.509000; ;-726; ; ; 
12.521000; ;-725; ; ; 
12.530000; ;-725; ; ; 
12.540000; ;-725; ; ; 
12.550000; ;-725; ; ; 
12.560000; ;-725; ; ; 
12.564000; ; ; ;50; 
12.570000; ;-725; ; ; 
12.574000; ; ;87; ; 
12.580000; ;-725; ; ; 
12.590000;103;-725; ; ; 
12.600000; ;-725; ; ; 
12.610000; ;-725; ; ; 
12.620000; ;-724; ; ; 
12.624000; ; ; ;50; 
12.630000; ;-724; ; ; 
12.640000; ;-724; ; ; 
12.649000; ;-724; ; ; 
12.660000; ;-724; ; ; 
12.669000; ;-724; ; ; 
12.681000; ;-724; ; ; 
12.687000; ; ;87; ; 
12.692000;103;-724; ;50; 
12.700000; ;-724; ; ; 
12.710000; ;-724; ; ; 
12.720000; ;-723; ; ; 
12.730000; ;-723; ; ; 
12.740000; ;-723; ; ; 
12.746000; ; ; ;50; 
12.751000; ;-723; ; ; 
12.760000; ;-723; ; ; 
12.770000; ;-723; ; ; 
12.780000; ;-723; ; ; 
12.790000; ;-723; ; ; 
12.791000;103; ; ; ; 
12.799000; ; ;87; ; 
12.802000; ;-723; ; ; 
12.810000; ;-723; ; ; 
12.818000; ; ; ;50; 
12.821000; ;-722; ; ; 
12.830000; ;-722; ; ; 
12.840000; ;-722; ; ; 
12.850000; ;-722; ; ; 
12.860000; ;-722; ; ; 
12.870000; ;-722; ; ; 
12.875000; ; ; ;50; 
12.880000; ;-722; ; ; 
12.890000;103;-722; ; ; 
12.899000; ;-722; ; ; 
12.904000; ; ;88; ; 
12.909000; ;-722; ; ; 
12.920000; ;-721; ; ; 
12.930000; ;-721; ; ; 
12.935000; ; ; ;50; 
12.940000; ;-721; ; ; 
12.950000; ;-721; ; ; 
12.960000; ;-721; ; ; 
12.970000; ;-721; ; ; 
12.980000; ;-721; ; ; 
12.990000;103;-721; ; ; 
13.000000; ;-721; ; ; 
13.003000; ; ; ;50; 
13.010000; ;-721; ; ; 
13.015000; ; ;88; ; 
13.020000; ;-720; ; ; 
13.030000; ;-720; ; ; 
13.039000; ;-720; ; ; 
13.050000; ;-720; ; ; 
13.055000; ; ; ;50; 
13.062000; ;-720; ; ; 
13.070000; ;-720; ; ; 
13.080000; ;-720; ; ; 
13.090000;103;-720; ; ; 
13.100000; ;-720; ; ; 
13.110000; ;-720; ; ; 
13.124000; ;-719; ; ; 
13.134000; ;-719; ; ; 
13.145000; ; ;88; ; 
13.146000; ;-719; ;50; 
13.160000; ;-719; ; ; 
13.172000; ;-719; ; ; 
13.184000; ;-719; ; ; 
13.195000; ; ; ;50; 
13.197000; ;-719; ; ; 
13.198000;103; ; ; ; 
13.220000; ;-718; ; ; 
13.240000; ;-718; ; ; 
13.242000; ;-718; ; ; 
13.261000; ; ;88; ; 
13.262000; ;-718; ; ; 
13.264000; ;-718; ; ; 
13.283000; ; ; ;50; 
13.284000; ;-718; ; ; 
13.297000;103;-718; ; ; 
13.322000; ;-718; ; ; 
13.323000; ;-718; ; ; 
13.325000; ;-717; ; ; 
13.345000; ;-717; ;50; 
13.347000; ;-717; ; ; 
13.360000; ;-717;89; ; 
13.361000; ;-717; ; ; 
13.371000; ;-717; ; ; 
13.382000; ;-717; ;50; 
13.394000;103;-717; ; ; 
13.414000; ;-717; ; ; 
13.426000; ;-716; ; ; 
13.436000; ;-716; ; ; 
13.447000; ; ; ;50; 
13.448000; ;-716; ; ; 
13.460000; ;-716;89; ; 
13.475000; ;-716; ; ; 
13.486000; ;-716; ; ; 
13.499000; ;-716; ; ; 
13.501000;103; ; ; ; 
13.502000; ;-716; ; ; 
13.539000; ; ; ;50; 
13.541000; ;-716; ; ; 
13.543000; ;-715; ; ; 
13.544000; ;-715; ; ; 
13.546000; ;-715; ; ; 
13.564000; ;-715; ; ; 
13.589000; ; ;89; ; 
13.591000; ;-715; ; ; 
13.592000; ;-715; ; ; 
13.594000;103; ; ; ; 
13.596000; ; ; ;50; 
13.630000; ;-715; ; ; 
13.632000; ;-714; ; ; 
13.634000; ;-714; ; ; 
13.640000; ;-714; ; ; 
13.659000; ; ; ;50; 
13.661000; ;-714; ; ; 
13.662000; ;-714; ; ; 
13.681000; ;-714; ; ; 
13.683000; ;-714; ; ; 
13.702000; ; ;89; ; 
13.704000;103;-714; ; ; 
13.706000; ;-714; ; ; 
13.708000; ; ; ;50; 
13.743000; ;-713; ; ; 
13.745000; ;-713; ; ; 
13.760000; ;-713; ; ; 
13.775000; ;-713; ;50; 
13.792000; ;-713;89; ; 
13.794000;103;-713; ; ; 
13.818000; ;-713; ; ; 
13.819000; ;-713; ; ; 
13.831000; ; ; ;50; 
13.832000; ;-712; ; ; 
13.849000; ;-712; ; ; 
13.863000; ;-712; ; ; 
13.864000; ;-712; ; ; 
13.879000; ;-712; ; ; 
13.892000; ;-712; ; ; 
13.893000; ;-712; ;50; 
13.895000;103; ; ; ; 
13.917000; ;-712;90; ; 
13.919000; ;-711; ; ; 
13.931000; ;-711; ; ; 
13.941000; ;-711; ;50; 
13.955000; ;-711; ; ; 
13.966000; ;-711; ; ; 
13.976000; ;-711; ; ; 
13.986000; ;-711; ; ; 
13.995000; ;-711; ; ; 
13.996000;103; ; ; ; 
14.016000; ; ;90; ; 
14.018000; ;-711; ;50; 
14.031000; ;-710; ; ; 
14.044000; ;-710; ; ; 
14.056000; ;-710; ; ; 
14.068000; ; ; ;50; 
14.069000; ;-710; ; ; 
14.081000; ;-710; ; ; 
14.082000; ;-710; ; ; 
14.093000;103;-710; ; ; 
14.111000; ;-710; ; ; 
14.122000; ;-709;90; ; 
14.130000; ;-709; ;50; 
14.140000; ;-709; ; ; 
14.150000; ;-709; ; ; 
14.160000; ;-709; ; ; 
14.170000; ;-709; ; ; 
14.180000; ;-709; ; ; 
14.187000; ; ; ;50; 
14.192000;103;-709; ; ; 
14.203000; ;-709; ; ; 
14.210000; ;-709; ; ; 
14.217000; ; ;90; ; 
14.223000; ;-708; ; ; 
14.230000; ;-708; ; ; 
14.240000; ;-708; ; ; 
14.247000; ; ; ;50; 
14.253000; ;-708; ; ; 
14.260000; ;-708; ; ; 
14.270000; ;-708; ; ; 
14.280000; ;-708; ; ; 
14.290000; ;-708; ; ; 
14.291000;103; ; ; ; 
14.303000; ;-708; ; ; 
14.317000; ;-708; ; ; 
14.336000; ;-707; ;50; 
14.338000; ;-707; ; ; 
14.358000; ;-707;91; ; 
14.360000; ;-707; ; ; 
14.361000; ;-707; ; ; 
14.381000; ;-707; ; ; 
14.384000; ;-707; ; ; 
14.403000;103;-707; ;50; 
14.405000; ;-707; ; ; 
14.430000; ;-706; ; ; 
14.443000; ; ;91; ; 
14.446000; ;-706; ;50; 
14.462000; ;-706; ; ; 
14.476000; ;-706; ; ; 
14.488000; ;-706; ; ; 
14.498000; ;-706; ; ; 
14.499000;103;-706; ; ; 
14.520000; ; ; ;50; 
14.521000; ;-705; ; ; 
14.537000; ;-705; ; ; 
14.548000; ;-705; ; ; 
14.556000; ;-705;91; ; 
14.562000; ; ; ;50; 
14.563000; ;-705; ; ; 
14.570000; ;-705; ; ; 
14.580000; ;-705; ; ; 
14.590000;103;-705; ; ; 
14.602000; ;-705; ; ; 
14.610000; ;-705; ; ; 
14.620000; ;-704; ; ; 
14.627000; ; ; ;50; 
14.633000; ;-704; ; ; 
14.640000; ;-704; ; ; 
14.650000; ;-704; ; ; 
14.657000; ; ;91; ; 
14.663000; ;-704; ; ; 
14.670000; ;-704; ; ; 
14.680000; ;-704; ; ; 
14.687000; ; ; ;50; 
14.693000; ;-704; ; ; 
14.694000;103; ; ; ; 
14.704000; ;-704; ; ; 
14.710000; ;-704; ; ; 
14.721000; ;-703; ; ; 
14.730000; ;-703; ; ; 
14.740000; ;-703; ; ; 
14.747000; ; ; ;50; 
14.753000; ;-703; ; ; 
14.760000; ;-703; ; ; 
14.766000; ; ;91; ; 
14.772000; ;-703; ; ; 
14.780000; ;-703; ; ; 
14.790000; ;-703; ; ; 
14.791000;103; ; ; ; 
14.801000; ;-703; ; ; 
14.806000; ; ; ;50; 
14.812000; ;-703; ; ; 
14.820000; ;-702; ; ; 
14.830000; ;-702; ; ; 
14.840000; ;-702; ; ; 
14.850000; ;-702; ; ; 
14.860000; ;-702; ; ; 
14.870000; ;-702; ; ; 
14.876000; ; ;92; ; 
14.881000; ;-702; ;50; 
14.890000;103;-702; ; ; 
14.904000; ;-702; ; ; 
14.919000; ;-702; ; ; 
14.934000; ;-701; ; ; 
14.936000; ;-701; ; ; 
14.952000; ;-701; ;50; 
14.954000; ;-701; ; ; 
14.968000; ;-701; ; ; 
14.981000; ;-701; ; ; 
14.998000; ; ;92; ; 
14.999000;103;-701; ; ; 
15.001000; ;-701; ; ; 
15.025000; ;-701; ;50; 
15.027000; ;-700; ; ; 
15.035000; ;-700; ; ; 
15.043000; ;-700; ; ; 
15.050000; ;-700; ; ; 
15.058000; ; ; ;50; 
15.068000; ;-700; ; ; 
15.075000; ;-700; ; ; 
15.082000; ;-700; ; ; 
15.101000;103;-700; ; ; 
15.103000; ;-700; ; ; 
15.139000; ; ;92; ; 
15.141000; ;-699; ; ; 
15.143000; ;-699; ; ; 
15.145000; ;-699; ; ; 
15.165000; ; ; ;50; 
15.167000; ;-699; ; ; 
15.170000; ;-699; ; ; 
15.191000; ;-699; ; ; 
15.193000; ;-699; ; ; 
15.194000;103; ; ; ; 
15.227000; ; ; ;50; 
15.229000; ;-699; ; ; 
15.230000; ;-699; ; ; 
15.232000; ;-698; ; ; 
15.233000; ;-698; ; ; 
15.252000; ;-698;92; ; 
15.255000; ;-698; ; ; 
15.269000; ;-698; ;50; 
15.271000; ;-698; ; ; 
15.281000; ;-698; ; ; 
15.290000; ;-698; ; ; 
15.291000;103; ; ; ; 
15.326000; ;-697; ; ; 
15.339000; ;-697;93;50; 
15.341000; ;-697; ; ; 
15.350000; ;-697; ; ; 
15.360000; ;-697; ; ; 
15.370000; ;-697; ;50; 
15.381000; ;-697; ; ; 
15.390000;103;-697; ; ; 
15.409000; ;-697; ; ; 
15.419000; ;-697; ; ; 
15.427000; ; ;93; ; 
15.428000; ;-696; ; ; 
15.437000; ;-696; ; ; 
15.446000; ;-696; ;50; 
